Country,Literacy Rate,Physician Density,GDP (Current USD),GDP Growth (% Annual),GDP per Capita (Current USD),GDP per Capita Category,Unemployment Rate (%),Continent
Solomon Islands,76.6,0.19,1633319401.0,3.079769815,2041.636491,Low,1.455,Oceania
Somalia,37.8,0.02,10968517090.0,4.216384326,597.4588546,Very Low,18.941,Africa
South Africa,87.0,0.91,380699000000.0,0.698485195,6022.542542,Low,32.098,Africa
South Korea,97.9,2.36,1712790000000.0,1.356733243,33121.37129,High,2.675,Asia
South Sudan,34.5,0.02,14304556022.833334,-6.586501287333333,1338.2643871666667,Very Low,12.7,Africa
Spain,98.4,3.87,1620090000000.0,2.675663493,33509.0128,High,12.179,Europe
Sri Lanka,92.3,1.0,84356863744.0,-2.298010562,3827.964956,Low,5.997,Asia
Sudan,60.7,0.26,109266000000.0,-20.11157597,2183.441406,Low,13.593307692307691,Africa
Suriname,95.4,1.21,3455146281.0,2.539566754,5494.074094,Low,7.631,South America
Sweden,99.0,3.98,584960000000.0,-0.310670185,55516.83648,Very High,7.611,Europe
Switzerland,99.0,4.3,884940000000.0,0.716066869,99564.71003,Very High,4.043,Europe
Syria,86.4,1.22,27271005172.0,-4.747113545846154,1267.517922653846,Very Low,50.0,Asia
Tajikistan,99.8,1.7,12060602009.0,8.299999217,1160.81187,Very Low,11.546,Asia
Tanzania,81.8,0.01,79062403821.0,5.069523532,1224.489624,Very Low,2.582,Africa
Thailand,94.1,0.81,514969000000.0,1.887257251,7182.025258,Mid,0.733,Asia
East Timor,68.1,0.72,2079916900.0,-18.11781338,1502.519638,Very Low,1.521,Asia
Togo,66.5,0.08,9171261838.0,6.407922156,985.6975126,Very Low,1.948,Africa
Tonga,99.4,0.52,460034440.8923077,1.6971026897692307,4334.288669692308,Low,2.262,Oceania
Trinidad and Tobago,99.0,4.17,27372285698.0,1.347675182,20016.1503,High,4.21,North America
Tunisia,81.8,1.3,48529595417.0,0.039156567,3977.695166,Low,15.106,Africa
Turkmenistan,99.7,2.22,60628857143.0,6.300157585,8232.65226,Mid,4.099,Asia
Tuvalu,99.0,0.92,62280311.59,3.852809195,6344.775019,Low,6.0,Oceania
Uganda,76.5,0.17,48768955863.0,5.336972955,1002.309139,Very Low,2.787,Africa
Ukraine,99.8,2.99,178757000000.0,5.324335374,5069.703125,Low,8.684333333333333,Europe
United Arab Emirates,97.0,2.53,514130000000.0,3.618706535,49040.69475,High,2.151,Asia
United Kingdom,99.0,2.81,3380850000000.0,0.339966158,49463.85546,High,3.984,Europe
United States,99.0,2.61,27720700000000.0,2.887556009,82769.41221,Very High,3.638,North America
Uruguay,98.6,5.05,77240830877.0,0.367475176,22797.81117,High,8.355,South America
Uzbekistan,100.0,2.37,101592000000.0,6.291416351,2849.514611,Low,4.46,Asia
Vanuatu,89.0,0.17,1126313359.0,2.212941771,3515.236336,Low,5.082,Oceania
Venezuela,97.1,1.92,388864800000.0,1.1524597287999998,13147.680841999998,Mid,8.0,South America
Vietnam,95.4,0.82,429717000000.0,5.046430736,4282.088517,Low,1.645,Asia
Yemen,54.1,0.31,33876557984.0,-4.408198770555555,477.4090287,Very Low,17.091,Asia
Zambia,87.4,1.19,27577956471.0,5.367942855,1330.727806,Very Low,5.905,Africa
Zimbabwe,89.0,0.21,35231367886.0,5.336730495,2156.034004,Low,8.759,Africa
